filename	subjectGroup	age	sex	Native.language.s.	mySegmentationCond	lang	response	correct_segm	underlying	surface	n.changes	closest_match_just_match	closest.match.length	closest.match.pos	stream	n.attested.sylls	closest_match
399612_200413_123755_dd63d7eea74056684a788b2ade2dffffaa3694ff.csv	1	71	male	English	continuous	L1	papi rapi kal tup tapi gil	0.5	dapi	tapi	1	da	2	1	abc	2	dapi
399612_200413_123815_20b3ab9affb403224ba99c5c86fa6adf520d908e.csv	2	56	male	English	continuous	L2	umwabe,kube	0.75	umpabi	umvabi	2	pabi	4	2	cab	2	XXpabi
399612_200413_123815_20b3ab9affb403224ba99c5c86fa6adf520d908e.csv	2	56	male	English	continuous	L2	umwabe,kube	0.75	kubi	kubi	0	ku	2	1	bca	2	kubi
399612_200413_123844_e8c4c8443a2d27df0ed5e1065eed7e3df8316e60.csv	2	38	female	English	continuous	L2	too the latte,moooo,too the latte	0.75	tutilati	tutilati	0	tu	2	1	abc	3	tutilati
399612_200413_123909_4d07172e433061eebf337a8b1d1faa538a93b0d5.csv	2	18	male	English	continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad	0.25	dont	dont	0	do	2	1	bca	1	doXX
399612_200413_123909_4d07172e433061eebf337a8b1d1faa538a93b0d5.csv	2	18	male	English	continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad	0.25	lavi	lavi	0	la	2	1	abc	1	laXX
399612_200413_123909_4d07172e433061eebf337a8b1d1faa538a93b0d5.csv	2	18	male	English	continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad	0.25	gopi	kapi	2	go	2	1	bca	2	gopi
399612_200413_123909_4d07172e433061eebf337a8b1d1faa538a93b0d5.csv	2	18	male	English	continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad	0.25	kupigo	kupiku	2	pigo	4	2	abc	3	kupigo
399612_200413_123909_4d07172e433061eebf337a8b1d1faa538a93b0d5.csv	2	18	male	English	continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad	0.25	labi	labi	0	labi	4	1	cab	2	labi
399612_200413_124024_a76f5348ceb4dad832e9c33ee30da5443c145796.csv	2	26	female	English	continuous	L2	bekuteepeedollar ,teepeekikoluku,peetudeepeedollar	0.75	bikutipidola	bikutipidola	0	bikutipi	8	1	abc	6	bikutipidola
399612_200413_124024_a76f5348ceb4dad832e9c33ee30da5443c145796.csv	2	26	female	English	continuous	L2	bekuteepeedollar ,teepeekikoluku,peetudeepeedollar	0.75	tipigoluku	tipikoluku	1	tipigo	6	1	cab	4	tipigoXXku
399612_200413_124024_a76f5348ceb4dad832e9c33ee30da5443c145796.csv	2	26	female	English	continuous	L2	bekuteepeedollar ,teepeekikoluku,peetudeepeedollar	0.75	bitutipidola	pitudipidola	2	tipi	4	3	cab	6	bitutipidola
399612_200413_124032_e858ea74b832ea71ada6486e48b7c58028e36080.csv	1	22	female	English	continuous	L1	gorraf,peeto,meeto	0.25	pido	pito	1	pi	2	1	abc	2	pido
399612_200413_124032_e858ea74b832ea71ada6486e48b7c58028e36080.csv	1	22	female	English	continuous	L1	gorraf,peeto,meeto	0.25	mido	mito	1	do	2	2	abc	1	XXdo
399612_200413_124045_4538f15fefd454419da3f63b43957012fd980fa3.csv	1	34	male	English	continuous	L1	taka laka teeku	0.75	dogo	taka	4	dogo	4	1	cab	2	dogo
399612_200413_124045_4538f15fefd454419da3f63b43957012fd980fa3.csv	1	34	male	English	continuous	L1	taka laka teeku	0.75	lago	laka	2	la	2	1	bca	2	lago
399612_200413_124045_4538f15fefd454419da3f63b43957012fd980fa3.csv	1	34	male	English	continuous	L1	taka laka teeku	0.75	tiku	tiku	0	ti	2	1	abc	2	tiku
399612_200413_124234_7299fa0ca87c2cb6d0bd220724749ec4caaaa8fe.csv	1	25	male	English	continuous	L1	da	0.25	da	da	0	da	2	1	abc	1	da
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	go	go	0	go	2	1	bca	1	go
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	la	la	0	la	2	1	abc	1	la
